ID,X,Y,V,eV,VI,eVI,MP,sel
547,479.0,517.8,25.336,0.009,0.852,0.013,1.0,1
657,519.7,486.7,25.336,0.009,0.526,0.015,1.0,1
605,502.0,545.8,25.337,0.009,0.756,0.013,1.0,1
200,377.1,446.3,25.351,0.009,0.643,0.014,1.0,1
539,476.3,409.7,25.354,0.008,0.507,0.014,1.0,1
336,419.0,379.3,25.357,0.009,0.856,0.013,1.0,1
26,297.3,527.5,25.358,0.009,0.907,0.013,1.0,1
280,402.3,380.9,25.363,0.009,0.93,0.013,1.0,1
723,551.0,384.9,25.366,0.009,0.63,0.014,1.0,1
678,525.7,326.2,25.367,0.009,0.734,0.014,1.0,1
567,486.1,420.6,25.372,0.009,0.176,0.018,1.0,1
261,395.1,530.0,25.375,0.009,0.445,0.016,1.0,1
288,405.1,392.4,25.377,0.009,0.162,0.018,1.0,1
118,339.5,507.9,25.379,0.009,0.629,0.015,1.0,1
229,384.6,305.9,25.382,0.009,0.717,0.014,1.0,1
76,321.2,270.7,25.387,0.009,0.837,0.013,1.0,1
384,432.3,349.8,25.389,0.009,0.948,0.013,1.0,1
669,522.9,371.1,25.389,0.009,0.931,0.013,1.0,1
671,523.4,536.4,25.392,0.009,0.563,0.015,1.0,1
62,315.7,529.0,25.394,0.009,0.889,0.013,1.0,1
243,389.4,403.5,25.396,0.009,0.815,0.013,1.0,1
142,353.1,508.2,25.399,0.009,0.478,0.016,1.0,1
443,449.5,385.6,25.4,0.008,-1.049,0.042,1.0,1
561,483.9,393.4,25.4,0.009,0.246,0.017,1.0,1
140,352.5,377.5,25.402,0.009,0.466,0.016,1.0,1
52,309.1,513.3,25.405,0.008,-2.03,0.089,1.0,1
476,457.1,369.9,25.406,0.009,0.609,0.015,1.0,1
238,387.5,350.7,25.411,0.009,0.733,0.014,1.0,1
464,454.7,382.3,25.415,0.009,0.631,0.015,1.0,1
143,353.5,353.4,25.42,0.009,0.927,0.013,1.0,1
203,377.4,296.7,25.422,0.009,0.524,0.016,1.0,1
117,338.8,511.0,25.425,0.009,0.988,0.013,1.0,1
421,441.4,370.6,25.425,0.009,0.544,0.016,1.0,1
417,440.9,538.5,25.427,0.009,0.847,0.014,1.0,1
326,416.2,273.1,25.429,0.009,0.36,0.017,1.0,1
210,378.0,440.1,25.435,0.009,0.138,0.019,1.0,1
250,391.8,510.1,25.435,0.009,0.524,0.016,1.0,1
316,412.4,480.0,25.435,0.009,0.914,0.013,1.0,1
55,310.8,294.4,25.438,0.009,0.174,0.018,1.0,1
792,587.3,517.1,25.441,0.009,0.422,0.017,1.0,1
594,497.7,458.0,25.442,0.009,1.1,0.013,1.0,1
595,497.7,504.9,25.442,0.009,0.208,0.018,1.0,1
610,502.9,388.5,25.442,0.009,0.918,0.013,1.0,1
596,498.6,408.0,25.448,0.009,-0.02,0.021,1.0,1
499,464.7,489.5,25.45,0.009,0.455,0.017,1.0,1
445,449.5,454.3,25.452,0.009,1.078,0.013,1.0,1
208,377.9,304.9,25.462,0.009,0.995,0.013,1.0,1
592,496.7,510.5,25.471,0.009,0.164,0.019,1.0,1
332,417.7,383.8,25.473,0.009,-0.466,0.028,1.0,1
