ID X   Y     V      eV    VI    eVI
304 410.4 419.8 25.524 0.009 1.036 0.013
305 410.5 428.6 26.190 0.015 0.417 0.028
306 410.7 450.5 25.799 0.011 1.728 0.014
307 410.7 503.7 22.670 0.005 1.291 0.008
308 410.9 525.3 28.032 0.078 0.482 0.146
309 411.5 516.5 24.577 0.006 1.068 0.009
310 411.7 369.5 24.334 0.006 1.115 0.009
311 411.9 431.9 24.774 0.006 1.214 0.009
312 411.9 539.1 28.360 0.105 1.710 0.119
313 412.0 400.2 24.716 0.006 1.219 0.009
314 412.2 331.2 27.657 0.054 0.213 0.123
315 412.3 404.5 24.596 0.006 0.774 0.009
316 412.4 480.0 25.435 0.009 0.914 0.013
317 412.6 363.8 24.257 0.006 0.684 0.009
318 412.7 455.1 25.081 0.007 1.213 0.010
319 413.3 395.5 24.762 0.006 0.893 0.009
320 413.8 299.6 27.353 0.042 0.652 0.070
321 414.3 539.9 27.448 0.046 0.784 0.072
322 414.4 441.8 23.146 0.005 1.117 0.008
323 415.0 379.8 24.889 0.007 0.319 0.012
324 415.1 422.5 23.928 0.005 1.163 0.008
325 415.7 450.7 24.414 0.006 0.996 0.009
326 416.2 273.1 25.429 0.009 0.360 0.017
327 416.2 495.5 27.097 0.034 0.237 0.074
328 416.4 306.7 27.702 0.057 1.428 0.069
329 417.0 446.5 24.932 0.007 0.427 0.012
330 417.1 474.1 26.991 0.030 0.313 0.063
331 417.5 298.3 27.563 0.051 0.926 0.074
332 417.7 383.8 25.473 0.009 -0.466 0.028
333 417.9 381.3 26.092 0.014 0.689 0.023
334 418.3 391.9 26.789 0.026 0.917 0.037
335 418.6 430.0 23.013 0.005 0.779 0.008
336 419.0 379.3 25.357 0.009 0.856 0.013
337 419.4 307.1 27.934 0.071 0.858 0.107
338 419.9 424.9 22.848 0.005 1.207 0.008
339 420.0 361.0 26.148 0.015 0.633 0.025
340 420.3 399.2 22.511 0.005 1.236 0.008
341 420.3 458.7 25.778 0.011 0.636 0.019
342 420.6 270.5 25.277 0.008 0.898 0.012
343 421.4 391.4 26.621 0.021 -0.265 0.066
344 421.4 513.3 25.898 0.013 0.320 0.025
345 421.9 431.7 23.889 0.005 1.564 0.008
346 421.9 463.3 23.907 0.005 1.060 0.008
347 422.2 340.1 25.643 0.010 0.607 0.017
348 422.3 371.1 25.334 0.008 0.972 0.012
349 422.4 343.1 25.322 0.008 0.521 0.014
350 423.0 325.9 27.408 0.044 1.101 0.059
351 423.2 408.9 23.481 0.005 1.144 0.008
352 423.5 404.9 23.615 0.005 1.110 0.008
353 423.7 328.4 27.503 0.048 0.953 0.069
354 423.8 375.4 27.682 0.056 1.469 0.067
355 424.0 321.7 26.298 0.017 0.674 0.028
356 424.0 442.4 24.099 0.005 1.266 0.008
357 424.5 386.3 25.576 0.009 2.217 0.011
358 425.1 379.9 24.219 0.006 0.809 0.009
359 425.7 509.1 23.773 0.005 1.196 0.008
360 425.9 482.5 22.692 0.005 1.379 0.008
361 425.9 371.1 24.720 0.006 1.109 0.009
362 426.7 349.3 25.021 0.007 0.932 0.011
363 426.9 272.9 27.334 0.041 1.030 0.057
364 427.2 297.5 27.122 0.034 2.120 0.037
365 427.2 447.2 21.909 0.005 1.446 0.008
366 427.3 328.3 26.612 0.022 0.467 0.040
367 427.7 397.8 24.110 0.005 0.938 0.008
368 428.0 459.1 25.321 0.008 -0.448 0.024
369 428.1 491.2 25.052 0.007 0.854 0.011
370 428.3 277.5 27.979 0.073 1.733 0.082
371 428.6 474.6 24.227 0.006 1.093 0.008
372 429.1 529.7 25.328 0.009 0.498 0.015
373 429.4 391.7 26.576 0.021 -0.012 0.053
374 429.7 519.7 26.856 0.027 0.399 0.053
375 429.8 535.3 25.917 0.013 1.033 0.018
376 430.2 344.5 27.209 0.037 0.673 0.061
377 430.2 387.1 25.800 0.011 0.269 0.023
378 430.6 307.3 27.822 0.063 0.528 0.115
379 430.6 400.9 23.601 0.005 0.945 0.008
380 430.9 293.7 27.633 0.054 0.479 0.101
381 431.1 445.0 23.087 0.005 1.243 0.008
382 431.7 427.2 20.855 0.005 1.147 0.008
383 431.8 489.9 26.460 0.019 0.053 0.047
384 432.3 349.8 25.389 0.009 0.948 0.013
385 432.6 336.7 26.636 0.021 -0.748 0.099
386 432.6 508.6 26.513 0.021 0.974 0.030
387 432.6 533.7 25.586 0.010 0.932 0.015
388 432.7 439.2 22.476 0.005 1.195 0.008
389 432.9 525.5 25.651 0.011 0.587 0.018
390 434.1 366.9 22.392 0.005 1.397 0.008
391 434.6 422.2 17.392 0.005 0.162 0.008
392 434.8 390.0 25.860 0.012 0.468 0.022
393 434.8 479.7 25.813 0.012 0.827 0.018
394 435.0 435.2 21.820 0.005 1.219 0.008
395 435.4 318.3 27.591 0.057 0.953 0.081
396 435.4 324.2 27.071 0.033 1.146 0.044
397 435.4 358.2 27.688 0.057 1.179 0.075
398 435.4 456.6 25.018 0.007 1.072 0.011
399 435.8 484.2 25.600 0.010 -0.619 0.036
400 435.9 467.3 26.512 0.020 0.664 0.034
401 436.1 423.9 18.881 0.005 1.305 0.008
402 436.3 448.5 24.728 0.006 0.066 0.012
403 436.3 501.7 22.994 0.005 1.303 0.008
404 436.5 464.1 25.845 0.012 0.847 0.018
405 436.9 385.5 24.313 0.006 1.006 0.009
406 437.4 490.5 24.399 0.006 0.893 0.009
407 437.7 444.0 24.072 0.005 1.037 0.008
408 437.8 305.4 28.064 0.080 0.643 0.136
409 438.0 404.3 22.928 0.005 1.046 0.008
410 438.2 422.1 19.626 0.005 2.315 0.008
411 438.3 328.6 28.225 0.093 1.693 0.106
412 438.4 398.2 25.230 0.008 0.668 0.013
413 439.0 356.9 25.262 0.008 0.908 0.012
414 439.1 474.1 25.867 0.012 0.835 0.018
415 440.1 296.7 25.132 0.008 0.801 0.012
416 440.4 509.1 24.289 0.006 1.045 0.009
417 440.9 538.5 25.427 0.009 0.847 0.014
418 441.1 445.0 24.156 0.005 0.651 0.009
419 441.1 451.1 24.899 0.007 0.593 0.011
420 441.1 481.4 24.883 0.007 0.656 0.011
421 441.4 370.6 25.425 0.009 0.544 0.016
422 442.1 454.8 25.062 0.007 1.185 0.010
423 442.4 356.9 25.693 0.011 0.861 0.016
424 442.5 288.5 26.782 0.027 0.590 0.047
425 442.5 306.5 26.630 0.022 0.554 0.039
426 442.5 439.7 22.623 0.005 1.215 0.008
427 442.9 404.4 23.256 0.005 0.994 0.008
428 443.1 390.4 24.309 0.006 0.834 0.009
429 443.9 394.1 23.978 0.005 1.018 0.008
430 444.1 460.4 22.478 0.005 1.383 0.008
431 445.0 507.0 25.068 0.007 0.953 0.011
432 445.7 363.7 22.917 0.005 1.354 0.008
433 446.7 318.0 27.300 0.040 0.264 0.086
434 447.1 407.2 23.819 0.005 0.900 0.008
435 447.1 412.7 22.391 0.005 1.257 0.008
436 447.5 376.8 25.528 0.010 0.936 0.014
437 447.5 482.9 22.912 0.005 1.261 0.008
438 447.5 492.1 26.341 0.018 0.842 0.027
439 448.1 419.3 22.116 0.005 1.288 0.008
440 449.0 285.2 26.775 0.025 0.652 0.042
441 449.0 446.3 24.367 0.006 0.856 0.009
442 449.5 334.4 26.808 0.028 1.336 0.035
443 449.5 385.6 25.400 0.008 -1.049 0.042
444 449.5 409.1 23.551 0.005 0.867 0.008
445 449.5 454.3 25.452 0.009 1.078 0.013
446 449.8 269.5 26.862 0.027 1.267 0.035
447 449.8 472.2 26.622 0.023 0.593 0.039
